No ,Player,Age,Pos,Game,GS,Att,Yards,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,YardsTotal,Touchdowns,Fmb
44,Ahmad Bradshaw,25,RB,12,9,171,659,9,37,3.9,54.9,14.3,44,34,267,7.9,2,26,2.8,22.3,77.3%,926,11,1
27,Brandon Jacobs,29,rb,14,6,152,571,7,28,3.8,40.8,10.9,23,15,128,8.5,1,40,1.1,9.1,65.2%,699,8,3
28,Danny Ware,26,rb,16,1,46,163,0,17,3.5,10.2,2.9,37,27,170,6.3,0,22,1.7,10.6,73.0%,333,0,0
10,Eli Manning,30,QB,16,16,35,15,1,12,0.4,0.9,2.2,,,,,,,,,,15,1,9
33,Da'Rel Scott,23,,11,0,5,16,0,8,3.2,1.5,0.5,2,2,13,6.5,0,9,0.2,1.2,100.0%,29,0,1
80,Victor Cruz,25,wr,16,7,1,3,0,3,3.0,0.2,0.1,131,82,1536,18.7,9,99,5.1,96.0,62.6%,1539,9,1
5,Steve Weatherford,29,p,16,0,1,0,0,0,0.0,0.0,0.1,,,,,,,,,,0,0,0
88,Hakeem Nicks,23,WR,15,15,0,0,0,0,,0.0,0.0,133,76,1192,15.7,7,68,5.1,79.5,57.1%,1192,7,0
82,Mario Manningham,25,WR,12,10,0,0,0,0,,0.0,0.0,77,39,523,13.4,4,47,3.3,43.6,50.6%,523,4,0
48,Jake Ballard,24,TE,14,13,0,0,0,0,,0.0,0.0,61,38,604,15.9,4,41,2.7,43.1,62.3%,604,4,0
45,Henry Hynoski,23,fb,11,4,0,0,0,0,,0.0,0.0,16,12,83,6.9,0,14,1.1,7.5,75.0%,83,0,0
86,Bear Pascoe,25,fb/te,16,11,0,0,0,0,,0.0,0.0,16,12,136,11.3,0,22,0.8,8.5,75.0%,136,0,0
13,Ramses Barden,25,,8,0,0,0,0,0,,0.0,0.0,19,9,94,10.4,0,26,1.1,11.8,47.4%,94,0,0
47,Travis Beckum,24,,13,0,0,0,0,0,,0.0,0.0,10,5,93,18.6,1,67,0.4,7.2,50.0%,93,1,0
87,Domenik Hixon,27,,2,0,0,0,0,0,,0.0,0.0,6,4,50,12.5,1,22,2.0,25.0,66.7%,50,1,0
15,Devin Thomas,25,,16,0,0,0,0,0,,0.0,0.0,3,3,37,12.3,0,14,0.2,2.3,100.0%,37,0,0
84,Brandon Stokley,35,,2,0,0,0,0,0,,0.0,0.0,3,1,7,7.0,0,7,0.5,3.5,33.3%,7,0,0
